City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,13.23,94,100,6.26,NZ,1717965200
1,port-aux-francais,-49.35,70.2167,5.03,95,100,15.31,TF,1717965200
2,mejit,10.2753,170.8646,28.07,80,56,7.55,MH,1717965200
3,west island,-12.1568,96.8225,26.99,83,40,2.57,CC,1717965035
4,freetown,8.484,-13.2299,26.81,79,7,2.36,SL,1717965200
5,taro,-8.3862,115.28,22.0,100,94,0.55,ID,1717965201
6,fort bragg,35.139,-79.006,32.17,52,69,2.68,US,1717965201
7,stanley,54.868,-1.6985,10.99,78,40,2.57,GB,1717965201
8,matane,48.8286,-67.522,13.96,90,91,5.56,CA,1717965201
9,olonkinbyen,70.9221,-8.7187,-0.84,82,45,7.81,SJ,1717965201
10,port said,31.2565,32.2841,25.99,83,0,4.63,EG,1717965202
11,dum duma,27.5667,95.5667,25.21,91,27,1.19,IN,1717965202
12,port douglas,-16.4833,145.4667,17.95,68,7,2.18,AU,1717965202
13,mount gambier,-37.8333,140.7667,5.1,84,100,2.3,AU,1717965027
14,albany,42.6001,-73.9662,20.25,62,18,0.89,US,1717965202
15,adamstown,-25.066,-130.1015,22.47,73,100,4.42,PN,1717965202
16,dengzhou,37.8086,120.7508,18.72,83,3,2.63,CN,1717965203
17,ust-nera,64.5667,143.2,8.85,40,51,1.5,RU,1717965203
18,puerto natales,-51.7236,-72.4875,0.25,100,100,1.54,CL,1717965203
19,invercargill,-46.4,168.35,8.34,82,100,3.58,NZ,1717965203
20,watsa,3.0372,29.5355,18.5,97,99,1.07,CD,1717965203
21,margaret river,-33.95,115.0667,15.39,60,99,10.38,AU,1717965204
22,berdigestyakh,62.0989,126.6992,14.12,43,5,1.23,RU,1717965204
23,puerto ayora,-0.7393,-90.3518,27.98,93,75,1.79,EC,1717965204
24,yaring,6.8662,101.3689,25.79,86,100,3.21,TH,1717965204
25,grytviken,-54.2811,-36.5092,-6.66,76,20,5.8,GS,1717965204
26,ararat,39.8317,44.7049,20.19,73,36,1.96,AM,1717965204
27,dagomys,43.6703,39.6689,21.97,85,100,1.9,RU,1717965205
28,northam,51.0333,-4.2167,13.67,84,100,7.32,GB,1717965205
29,carnarvon,-24.8667,113.6333,20.92,83,99,3.56,AU,1717965205
30,georgetown,5.4112,100.3354,26.96,88,40,2.06,MY,1717964976
31,nuuk,64.1835,-51.7216,5.34,100,100,18.01,GL,1717965205
32,port elizabeth,-33.918,25.5701,10.61,93,0,2.06,ZA,1717965205
33,naze,28.3667,129.4833,22.51,85,100,3.04,JP,1717965206
34,zouerate,22.7187,-12.4521,32.94,21,7,5.03,MR,1717965206
35,bredasdorp,-34.5322,20.0403,10.23,91,12,1.32,ZA,1717965206
36,derzhavinsk,51.1,66.3167,19.9,77,63,3.0,KZ,1717965206
37,dudinka,69.4058,86.1778,3.71,94,100,3.58,RU,1717965204
38,george town,5.4112,100.3354,26.96,88,40,2.06,MY,1717965206
39,ribeira grande,38.5167,-28.7,20.22,88,20,6.17,PT,1717965207
40,yellowknife,62.456,-114.3525,15.29,63,40,4.63,CA,1717964915
41,chonchi,-42.6128,-73.8092,9.56,87,32,2.05,CL,1717965207
42,hermanus,-34.4187,19.2345,11.56,78,15,3.67,ZA,1717965207
43,hallsberg,59.0657,15.1117,10.39,86,75,4.12,SE,1717965207
44,atafu village,-8.5421,-172.5159,28.45,72,72,3.51,TK,1717965208
45,sur,22.5667,59.5289,31.49,55,0,4.72,OM,1717965208
46,tapa,59.2606,25.9586,5.9,76,0,3.06,EE,1717965208
47,punta arenas,-53.15,-70.9167,2.06,80,75,2.57,CL,1717965208
48,brodnica,53.2597,19.3965,13.54,76,98,3.04,PL,1717965208
49,tateyama,34.9833,139.8667,18.94,91,100,5.11,JP,1717965208
50,east london,-33.0153,27.9116,15.61,68,0,2.55,ZA,1717965209
51,tchollire,8.4022,14.1698,24.11,79,49,2.45,CM,1717965209
52,queenstown,-31.8976,26.8753,8.88,54,0,2.55,ZA,1717965209
53,badger,64.8,-147.5333,24.14,37,75,2.57,US,1717965209
54,mahebourg,-20.4081,57.7,22.16,94,75,5.66,MU,1717965209
55,novoagansk,61.9449,76.6625,10.56,57,3,2.17,RU,1717965210
56,bethel,41.3712,-73.414,23.45,62,75,3.09,US,1717965210
57,jamestown,42.097,-79.2353,20.29,48,20,7.2,US,1717965155
58,kolding,55.4904,9.4722,10.38,76,71,5.14,DK,1717965210
59,kununurra,-15.7667,128.7333,14.99,67,4,3.6,AU,1717965210
60,saint-pierre,-21.3393,55.4781,20.82,73,0,2.57,RE,1717965210
61,kerouane,9.2667,-9.0167,22.35,95,83,1.83,GN,1717965211
62,isafjordur,66.0755,-23.124,5.27,81,84,2.2,IS,1717965211
63,nar'yan-mar,67.6713,53.087,1.73,87,100,4.47,RU,1717965211
64,puerto baquerizo moreno,-0.9,-89.6,25.55,78,75,5.14,EC,1717965211
65,edinburgh of the seven seas,-37.0676,-12.3116,13.49,84,75,7.02,SH,1717965211
66,gumaca,13.9197,122.1003,25.96,85,100,0.87,PH,1717965212
67,hithadhoo,-0.6,73.0833,28.11,74,97,1.32,MV,1717965212
68,inari,68.906,27.0288,13.11,77,47,4.58,FI,1717965212
69,susuman,62.7833,148.1667,3.88,58,23,0.89,RU,1717965212
70,kapuskasing,49.4169,-82.4331,6.05,93,100,6.17,CA,1717965212
71,nyurba,63.2842,118.3319,13.9,87,14,0.57,RU,1717965212
72,dunedin,-45.8742,170.5036,8.78,89,100,3.13,NZ,1717965213
